State ,AQI by Capitol
Alaska,21
Alabama,38
Arkansas,30
Arizona,118
California,64
Colorado,44
Connecticut,41
Delaware,54
Florida,35
Georgia,50
Hawaii,29
Iowa,18
Idaho,57
Illinois,40
Indiana,25
Kansas,19
Kentucky,48
Louisiana,61
Massachusetts,53
Maryland,48
Maine,27
Michigan,31
Minnesota,29
Missouri,23
Mississippi,27
Montana,74
North Carolina,62
North Dakota,12
Nebraska,43
New Hampshire,25
New Jersey,35
New Mexico,84
Nevada,76
New York,46
Ohio,16
Oklahoma,20
Oregon,98
Pennsylvania,58
Rhode Island,33
South Carolina,55
South Dakota,11
Tennessee,31
Texas,27
Utah,133
Virginia,36
Vermont,30
Washington,43
Wisconsin,10
West Virginia,70
Wyoming,28
